Profile_Name,Rating_Star,Headings,Base_Reviews,category
its way to laggy!Ã°Å¸ËÂ¬,3.0 out of 5 stars,Its pretty cool,Screen recording is great but it takes a long time to load in and the mic is just very glitchy please fix over all its a pretty cool app! Ã°Å¸ËÅ½Ã°Å¸ËÅ ,issue
Dennis A Ryan,4.0 out of 5 stars,Strongly Recomend,Great easy to use very easy setup,user_experience
Rizzo,1.0 out of 5 stars,pay to view,dont let these guys fool you-you gotta pay them to see anything worthwhile,user_experience
cinderbain,1.0 out of 5 stars,Waste of time and money,"While connecting ipad to t.v., the connection constantly is lost which means you must unplug cable from the t.v. and start the entire process again.",other_information
tracie gilbert,3.0 out of 5 stars,Fast cleaner,This app cleaned  fire very quickly.  Was disappointed that it asked me to purchase an upgrade for the cleaning part.,user_experience
Mediocre,4.0 out of 5 stars,it works,It does what it's intended to,user_experience
Troy Dorothy,5.0 out of 5 stars,Nice way to watch hockey,"This is great, I can finally watch hockey...",user_experience
Jstarks3091,2.0 out of 5 stars,Find work for me.,It will not work on my Kindle 8 or my Samsung S9 +.  I un-instslled it.,feature
Andrea,1.0 out of 5 stars,Poor,Very difficult to connect and stream kept freezing,issue
J,2.0 out of 5 stars,5 people found this helpful,Ok,other_information
Jayme Clark,2.0 out of 5 stars,Not what I thought it would be.,I give it 2 stars because the video and audio were not synced. I was also expecting an app kinda like casting. The video was not full screen on the tv and I could not figure out how to fix that issue. I deleted the app because I donÃ¢â¬â¢t have the time to figure everything out. I just wanted to be able to cast and be done.,feature
Yolanda Pigeon,3.0 out of 5 stars,Mirroring.,Difficult to use.,user_experience
Rebecca Adams,5.0 out of 5 stars,Five Stars,Easy set up!,user_experience
Brenda L.,5.0 out of 5 stars,I am so impressed so much better than any other sports app I have tried.  Would definitely recommend!,Awesome,user_experience
Scott,5.0 out of 5 stars,This app is worth it!,Works fantastic on my android LG g4. Lots of optional things you can take advantage of. I recommended strongly.,user_experience
Amazon Customer,1.0 out of 5 stars,poor value,poor value,user_experience
Marisa Welch,5.0 out of 5 stars,Five Stars,Simple to use,other_information
Amazon Customer,5.0 out of 5 stars,Awesome!,I can use to record tik tok! :but Awesome,user_experience
Sia F.,1.0 out of 5 stars,stupid game,This is face the  show the hand  Even when my hand isn't there! Do not get repeat do not get!,issue
Christopher Brian Pirelli,1.0 out of 5 stars,Ridiculously stupid,I tried doing my baby cousin and I tried to put a flower crown thing on her and it turns out that you can't shrink the stickerDELETINGÃ°Å¸ËÂ¡Ã°Å¸ËÂ¡,feature
Jake,1.0 out of 5 stars,Unstoppable notices,The settings didn't allow to stop the non stop notices.  Deleted.,feature
taty,5.0 out of 5 stars,Awesome app,It's great very helpful. I enjoy working with it everyday.,user_experience
Better Design,1.0 out of 5 stars,WAY TOO EXPENSIVE!,Will not even use the TRIAL version because $55.00 per month is way too expensive!,feature
Kaleb,2.0 out of 5 stars,Two Stars,This is very laggy and not that live because the streaming is delayed.,issue
Yankee,5.0 out of 5 stars,I love it,love it ,user_experience
donald harvey,5.0 out of 5 stars,Five Stars,nice app,other_information
PC,1.0 out of 5 stars,DonÃ¢â¬â¢t waste your money - it doesnÃ¢â¬â¢t work,DoesnÃ¢â¬â¢t work with Peleton app -  very jittery,user_experience
Phil K.,1.0 out of 5 stars,One Star,Didn't work for my wireless Ricoh Printer. Deleted it immediately.,feature
Katherine Medina,2.0 out of 5 stars,This is not a free App,I was looking for a free app to write notes and such. This claims to be free but when I opened it said 7-day free trial and after trial it would charge me an amount of $39.95 for year. I closed it and just uninstalled the app on my devise.  Nott what I was looking for. Problem is you see so very little until you download the app.,feature
Paul,5.0 out of 5 stars,Best I have found for Fire tablet,"This is the best all around document and spreadsheet app I have found for the Fire tablet. I like that it can save in MS format and use the cloud storage I have. This way, I can edit or view things on any of my devices without copying and converting, etc.",user_experience
Jean,5.0 out of 5 stars,Good,Good,other_information
Bubs 4,1.0 out of 5 stars,Impossible to log on,Never could log on,issue
morgan daniels,2.0 out of 5 stars,Two Stars,"Requires steps to run, unwilling to give blank check permissions.",user_experience
Steve A.,1.0 out of 5 stars,"Good App, Did Not Meet My Need","Seems like a good app, but did not work for my needs. I was trying to get my iPhone to cast my Spectrum Streaming TV to my Chromecast, as well as, my Firestick and it did not work for either one. Once the TV stream started, the app froze.",issue
bigtine,2.0 out of 5 stars,Good for screening from your phone,Easy to set up and works ok from iOS device. Pay to download app and we found it very restructive especially with apps such as Zoom or some streaming options where it either is silent or no picture. Not ideal for what we purchased it for.,issue
EnriAn,3.0 out of 5 stars,Okay but not great,"It does its job, but the video quality isnÃ¢â¬â¢t good and it keeps buffering.",issue
M R Byron,1.0 out of 5 stars,IT did not work.,No good,other_information
Sandopui,1.0 out of 5 stars,Overheats,This overheats and does not allow you to display video from Amazon Video or DirecTV,issue
Tresa E Antao,5.0 out of 5 stars,Good product for the price,Good product for the price,user_experience
Kyle V.,2.0 out of 5 stars,Two Stars,was good except it seemed to take control and I did not like that feature,issue
Anna Marie Beach,5.0 out of 5 stars,Great App.,It works,other_information
Michael White,3.0 out of 5 stars,Another streaming service,ok,other_information
Shiba dog lover,1.0 out of 5 stars,problem after response to survey,Received survey after answering it app quit working.  Went to Amazon and deleted  the app but it wouldn't remove from my Kindle.  Of course no help from Amazon.  Would have enjoyed this app if it worked.  There was a problem with the recipes not loading which I reported in the survey,feature
Tobias Portillo,5.0 out of 5 stars,Ok,Ok,other_information
Rob,5.0 out of 5 stars,Works well,Works well especially for one handed use.  Nice for  adult entertainment.,user_experience
Emmanuel F.,5.0 out of 5 stars,Works,Works,other_information
WataugaTeacher,4.0 out of 5 stars,Nice App,Good app. Helps me keep up with my teams when I can't watch TV.,user_experience
Pnon12,1.0 out of 5 stars,Poor,"Not a great picture, audio didnÃ¢â¬â¢t work",issue
susan,5.0 out of 5 stars,Five Stars,works great.,user_experience
Cody Hively,3.0 out of 5 stars,Fix quality,Buffering is crap,issue
Elizabeth geary,3.0 out of 5 stars,ok,ok,other_information
8574882941,5.0 out of 5 stars,Report abuse,"Unfortunately this didn't work for me, deleted",feature
Frangipan,1.0 out of 5 stars,Does not work,"DidnÃ¢â¬â¢t work.  Well, it worked for about 3 minutes then the tv screen froze",issue
Pie dude,2.0 out of 5 stars,Worked good until the new update,It worked good on kindle fire hd then ever since the new update it keeps crashing. Plz fix then i will rate 5 stars.,issue
Abbie Gutierrez,5.0 out of 5 stars,tv mirroring,did exactly wat i needed it to do,other_information
Elianator,1.0 out of 5 stars,Pure garbage,"Wont connect well. Sometimes work, but not until you try it 20x",issue
Tresa E Antao,5.0 out of 5 stars,Good product for the price,Good product for the price,user_experience
Amazon Customer,1.0 out of 5 stars,Garbage,Skype might work on android phones and iphones but on the Kindle HD its a piece of garbage. Always has problems signing me in and it even fails to send me an email to reset my password when I request to do so. Im deleting this waste of space.,feature
Michael B,1.0 out of 5 stars,Didn't work as advertised.,It wouldn't open after loading the app.,issue
Christopher Sheehan,2.0 out of 5 stars,Still trying to find a good mirror,"Not sure if itÃ¢â¬â¢s because of this mirroring app, my tv, or lack of WiFi. However it buffers every 5 seconds for me to stream using hot spot, with iPhone 13 and firetv.",issue
simone v.,5.0 out of 5 stars,grate app,You get to call friends in it but you have to have credits you get to talk about thing with friends that have the app or  a phone get the app if u really need to call someone,user_experience
Seany Gauld,2.0 out of 5 stars,Really annoying,I cannot seem to upload a pic.Really annoying,issue
LoveToShop,1.0 out of 5 stars,DonÃ¢â¬â¢t wast your time,Did not work well at all. Deleted very quickly.,feature
Buck Wheat,1.0 out of 5 stars,It may work for you,"Didn't work, removed it.",feature
RICKENATER,3.0 out of 5 stars,Three Stars,Good,other_information
Stevan Dupree,3.0 out of 5 stars,It works...,Gotta watch ads Each time you use it...,issue
xMoldyTaco,1.0 out of 5 stars,Does not work well.,"I wanted to mirror something from my phone to my Fire Stick. Sadly this app did not fulfill the need. It did mirror the screen, but no sound and could only get it to work in portrait mode. Useless for my intent.",issue
Christburger,5.0 out of 5 stars,"FREE, Entertainment & Knowledge",I Love These Stories. Mostly under 20 minuets.,user_experience
Bob LA Manna,5.0 out of 5 stars,Economical,Works some of the time,other_information
bean,1.0 out of 5 stars,This app deserves 0 starts....,"Its so frustrating, constantly signing me out, making me sign back in just to erase all of my previous messages including new ones that I have just received an  haven't gotten to read. And now all it shows me when I open the app is a text that's sending, that I sent yesterday morning and wont let me do anything else. I have ran the repair app tool multiple times and contacted customer service for the issues. This app is being un installed. So annoying to deal with just to send texts. Not worth it.",feature
