Profile_Name,Rating_Star,Headings,Base_Reviews,
Christina Johnson,4.0 out of 5 stars,what's better then a food app,It's a good app not perfect but good I like the way it's set so you can find recipes by your favorite food network stars.,
Sandy Peters,5.0 out of 5 stars,Great resource!!,"A great place to get new ideas & recipes for meals.  A good opportunity to try cooking something a little more challenging than normal, everyday cooking.",
Sharlene,5.0 out of 5 stars,Love it!!,"I have found so many wonderful recipes,right at my finger tips!! It is so easy to search for something different for dinner. That has always been the part I hate about fixing dinner coming up with a idea.Thanks Food network!! You took the work out.",
Leozpride,4.0 out of 5 stars,Solid,"Overall, solid app. It has tons of stuff on it to the point its almost a little cumbersome. The search function is not as easy on the mobile app as it is through a computer. If you can find what you need, the recipe is clear and easy to manage on a Galaxy screen, might be difficult on something smaller.",
Amazon Customer,5.0 out of 5 stars,Favorite app,This is one of my favorite apps. I love the recipe box that you can put your favorite recipe's in. I search this app before I start cooking any dishes. Thanks again Amazon,
Ldyjane50,5.0 out of 5 stars,Love food network,Good shows,
Kindle Customer,4.0 out of 5 stars,Food Network in the Kitchen,"I have not used it that much.  Looking over the recipes there are allot of ingredients I am not familiar with and probably costs are high.  I am not sure. the recipes are very healthy eating.  I will probably,try them once in awhile.",
Lia Veiga,3.0 out of 5 stars,very good,"It is a very good app, but for some Photos or recepies you need to be on line",
Ken Nimtz,5.0 out of 5 stars,Five Stars,Very nice interface really like all the celebrities and the videos.  Search options are very helpful and complete,
Deborah,5.0 out of 5 stars,Five Stars,"JUST LIKE THE SHOW, ALWAYS SOMETHING DIFFERENT",
Just another satisfied customer and,5.0 out of 5 stars,Itâ€™s like having a chef right next to you great idea,Great instructional content easy recipes delicious recipes great for first time cooks,
Bernadette,5.0 out of 5 stars,I love this app,"I love this app. It seems to be user friendly, all of the hosts have their own pages. I found several recipes and tried a banana bread by Melissa D'Arabian this morning, the recipe was a keeper and will be used many times in the future.",
CabbyZ,1.0 out of 5 stars,I REALLY want to Love it,"I live in Denver, home of ""Sam's No.3"" and their ""Kickin' Green Chili"". I was super excited to see ""Food Network in the Kitchen"" had the recipe. (Triple D did a show there). BUT, every time I open ""Sam's No.3 Kickin' Green Chili"" the app goes into lock down. The picture loads and then ""Unfortunately, In the Kitchen has stopped"" ""OK"". Well, no, as a matter of fact, it's NOT okay. Plus, it doesn't reload, you have to close and reopen the app.Now, maybe... MAYBE, this one recipe is the ONLY one that does this... I-D-K! It's the one I want!The only thing worse than taking a toy from a child, is to give it back... broken.",
BB Mom,5.0 out of 5 stars,Very Convenient!,This app is very easy to use!,
AZCatMom,5.0 out of 5 stars,Best gift I bought for myself!!,Impulse but at Christmas and I couldn't bevhappier.  Great variety.  I'm still exploring!,
CrossFit Excellence,5.0 out of 5 stars,Handy in the kitchen!,I enjoy this app for ideas. I can save recipes I like easily too. Video references help.I'm always looking for new meal plans so having this available is great!,
kat,5.0 out of 5 stars,variety,The good network is the answer to many kitchen needs. The variety of food presented by the chefs touch every cord of the most demanding eaters.In our daily routines sometimes an idea of what to cook is welcome.,
Julie Dalrymple,5.0 out of 5 stars,Easy to Understand,"Not only were the receipts easy to follow, the food items are in most stores that make one stop shopping a breeze. Thanks Food Network for making all of us better cooks!",
Kindle Customer,2.0 out of 5 stars,you need to be able to ask for a dish ...,you need to be able to ask for a dish. Not have to scroll through every thing to find what you want,
Brooke,5.0 out of 5 stars,Love This Network,So many shows on here that I used to watch while doing homework,
app lover,3.0 out of 5 stars,it WAS good,"It was sooooooooo awesome with all the recipes and everything, but than it glitches and wouldn't open. Good app though! Great while it lasted!",
Michael E. Stiegler,5.0 out of 5 stars,Easy as pie!!,Recipes are easy to read and follow! Makes cooking a joy!!!,
jeremiah david breid,4.0 out of 5 stars,very cool,I dig it. It's very well done,
Mildred rose Evans,5.0 out of 5 stars,I love this app!!!,I love to cook. However I like making things in different ways. That is why this app is so awesome! The pictures are so beautiful and appealing. I love the way you can tell if the recipe is easy or hard. It also tells you about how long the prep will be and how long the cooking will be. I love this app!!!,
lilia,5.0 out of 5 stars,Five Stars,Eady to use,
Marian S  Childs,1.0 out of 5 stars,Doesn't work,Says Food Network has ended. I don't know what that means exactly so I try it at different times of the day and keep getting the same results.  Don't download unless you have a clue what that means.,
Charlene  Jackson,5.0 out of 5 stars,Five Stars,Excellent 'recipes &  Chef's,
Timothy Garner,5.0 out of 5 stars,Convenient,It has great recipes at the ready. I just made Bobby Flay's pizza dough it turned out great ans I love  recipe box to save the recipes I like.,
lynn cole,5.0 out of 5 stars,Five Stars,Fantastic,
Jaime,5.0 out of 5 stars,just like the website,Love this app!  It has tons of great recipes. I would recommend this to anyone who loves cooking or wants to try something new.,
Dale Griffin,3.0 out of 5 stars,good app,Some of the recipes have ingredients missing or not correct.  Have wasted food as some recipes did not come out right.,
Wendy Finley,5.0 out of 5 stars,love this,I have used this app endlessly...I am almost addicted to it!!  Love the recipes and how easy it is to browse and use.  Highly recommend.,
Kindle Customer,4.0 out of 5 stars,Four Stars,Enjoy the easy way to use. Recipes helps me choose best wsy to help with my diabetes.,
dbfuzz,4.0 out of 5 stars,Great app!,East to use and great recipes!,
Ronald Stevens,4.0 out of 5 stars,great,Love the app.I just wish that it had more pictures! Also I would love to see more recipes.but all in all I enjoy it and use it often.,
Gloria Bush,5.0 out of 5 stars,food network always with me.,I always loved food network.  It's another venue I can get it,
Brenda M.,5.0 out of 5 stars,Five Stars,Love it so far. Recipe's are listed by chef.,
Sarah W.,5.0 out of 5 stars,Couldn't pass it up for free :),Great deal for an app I probably won't use very often...but my kid loves to watch cooking shows :),
Esmeralda,5.0 out of 5 stars,love,Makes cooking so easy,
JENNIFER KNIGHT,5.0 out of 5 stars,Five Stars,Love it!,
James R.,2.0 out of 5 stars,Lacking in content,"I originally downloaded this app as part of an Amazon promotion for free Amazon coins. Since my dad is an avid home chef, I let him try the app out but he found that the recipe selection is very limited, and that he'd rather just go on the Food Network website where there's a lot more content for free - no app required.",
Jackie Patrick,5.0 out of 5 stars,Love it!,"Great app! Easy to find recipes and by search of recipe, or your favorite chef.",
M. Pitts,5.0 out of 5 stars,Food Network App,"This app works great on the Kindle.  If you like the web page, you'll like this app because it is very similar.",
E. M. Yakout,4.0 out of 5 stars,good app,"Helpful,clear and informative..I recommend it for everyone",
Sopio,5.0 out of 5 stars,super,all the receipts are very tasty and delicious. I have tried to do some of them and made very nice surprise to the family. I would recommend to use this application. I would like to have Georgian Traditional receipts also later :),
Epic_Ewok,3.0 out of 5 stars,Needs work,App works Great but when viewing my saved recipes it gives me different recipes than what i clicked on.,
EUGENE P. SCHREIBER,4.0 out of 5 stars,Four Stars,Ok,
DonnysGirl,5.0 out of 5 stars,Great App!!,"I love this app.  Great recipes are right at your fingertips.  for $1.99 you have access to many more recipes than you would get in a single cookbook and they can get very expensive.  As a matter of fact, now that I have the Food Network app and the All Recipes app I already had, my huge pile of cookbooks may very well become obsolete.",
wendy morris,1.0 out of 5 stars,No,I never ordered this or used it.,
Susie cute,5.0 out of 5 stars,what a gift!,"When I need inspiration, adventure, or something to make my regular meal production more enjoyble this us my go to app.  It is so much fun discovering recipes that get me moving.  Having some of my favorte Food Network chefs to draw from is a gift.  Like getting lots of new cookbooks to peruse.",
DBHooper,4.0 out of 5 stars,versatile and thorough,"I really love the Food Network app because it lists (usually with pictures) so many recipes from any given ingredient.  Just type in something like ""baby carrots"" and you'll get an incredible list of really delicious recipes to explore. I've found myself gravitating towards a few particular chefs, mainly because I love their flavor profiles.",
Amazon Customer,5.0 out of 5 stars,Food network in the Kitchen,I love this E-Book from Food Network. it has lots of complete recipes in it. easy to read and follow.,
